roi_label,roi_name,x,y,z
96,7Networks_LH_SomMot_15,-33.4098,-30.8852,16.4262
97,7Networks_LH_SomMot_16,-33.8378,-22.5405,18.4865
98,7Networks_LH_SomMot_17,-40.2299,-13.1494,17.8161
99,7Networks_LH_SomMot_18,-48.5231,-33.6615,11.1077
100,7Networks_LH_SomMot_19,-54.7407,-46.9630,14.0741
101,7Networks_LH_SomMot_20,-59.0047,-36.3944,15.7183
102,7Networks_LH_SomMot_21,-47.7069,-13.4310,13.8276
103,7Networks_LH_SomMot_22,-54.6667,-7.3333,9.1111
104,7Networks_LH_SomMot_23,-64.6897,-45.9310,14.6897
105,7Networks_LH_SomMot_24,-38.9474,-26.0842,19.9368
106,7Networks_LH_SomMot_25,-39.7009,-36.3738,16.4860
107,7Networks_LH_SomMot_26,-57.5208,-14.3958,15.0417
108,7Networks_LH_SomMot_27,-60.2523,-3.2252,11.6036
109,7Networks_LH_SomMot_28,-48.6935,-21.9677,18.3871
110,7Networks_LH_SomMot_29,-64.9615,-11.2692,15.7308
111,7Networks_LH_SomMot_30,-47.3818,-30.2909,17.9818
112,7Networks_LH_SomMot_31,-61.3714,-17.9238,20.4190
113,7Networks_LH_SomMot_32,-60.2340,1.5106,22.0638
114,7Networks_LH_SomMot_33,-59.5152,-6.5253,19.2929
115,7Networks_LH_SomMot_34,-63.6566,-9.7172,27.8990
116,7Networks_LH_SomMot_35,-56.7939,-1.6794,29.0076
117,7Networks_LH_SomMot_36,-53.8873,-9.8732,31.1549
118,7Networks_LH_SomMot_37,-60.7925,-10.6792,39.0566
119,7Networks_LH_SomMot_38,-53.5690,-5.0000,36.5862
120,7Networks_LH_SomMot_39,-55.1871,-18.9548,41.6258
121,7Networks_LH_SomMot_40,-49.1603,-16.1069,40.5802
122,7Networks_LH_SomMot_41,-44.4634,-12.9268,37.8780
123,7Networks_LH_SomMot_42,-7.7931,-6.7310,41.6414
124,7Networks_LH_SomMot_43,-52.1036,-3.5959,47.2332
125,7Networks_LH_SomMot_44,-56.4545,-16.8636,50.6364
126,7Networks_LH_SomMot_45,-46.9655,-27.5172,44.6207
127,7Networks_LH_SomMot_46,-39.1429,-18.4898,40.5306
128,7Networks_LH_SomMot_47,-7.8857,-9.2952,47.6952
129,7Networks_LH_SomMot_48,-50.9682,-25.8217,54.6242
130,7Networks_LH_SomMot_49,-43.3710,-11.9677,50.3226
131,7Networks_LH_SomMot_50,-47.1325,-17.2289,53.4337
132,7Networks_LH_SomMot_51,-8.1553,-19.2427,47.4757
133,7Networks_LH_SomMot_52,-35.2308,-20.1538,45.4359
134,7Networks_LH_SomMot_53,-39.5890,-5.0137,58.1096
135,7Networks_LH_SomMot_54,-5.7241,-27.8391,50.4828
136,7Networks_LH_SomMot_55,-3.4909,-11.5636,54.3030
137,7Networks_LH_SomMot_56,-39.6235,-15.5294,57.7765
138,7Networks_LH_SomMot_57,-43.4301,-32.1658,63.2850
139,7Networks_LH_SomMot_58,-39.2741,-25.7037,54.3852
140,7Networks_LH_SomMot_59,-33.0692,-45.3082,61.3459
141,7Networks_LH_SomMot_60,-4.4667,-22.2444,57.3111
142,7Networks_LH_SomMot_61,-33.3659,-38.5041,61.7073
143,7Networks_LH_SomMot_62,-8.8687,-40.5253,57.7374
144,7Networks_LH_SomMot_63,-27.2056,-11.3925,60.4486
145,7Networks_LH_SomMot_64,-35.1605,-16.6296,67.3951
146,7Networks_LH_SomMot_65,-4.5600,-11.9733,62.9333
147,7Networks_LH_SomMot_66,-31.1080,-28.9390,62.6854
148,7Networks_LH_SomMot_67,-29.6909,-24.4727,60.4364
149,7Networks_LH_SomMot_68,-2.7899,-32.8067,59.2773
150,7Networks_LH_SomMot_69,-25.3494,-40.1687,62.0241
151,7Networks_LH_SomMot_70,-24.4583,-47.2292,63.6042
152,7Networks_LH_SomMot_71,-24.0000,-11.8500,71.3250
153,7Networks_LH_SomMot_72,-29.0820,-32.8852,71.7049
154,7Networks_LH_SomMot_73,-3.5960,-21.7778,64.8081
155,7Networks_LH_SomMot_74,-22.0588,-28.8824,56.1176
156,7Networks_LH_SomMot_75,-16.1495,-10.0374,66.3178
157,7Networks_LH_SomMot_76,-10.9383,-45.1358,69.9259
158,7Networks_LH_SomMot_77,-23.2000,-20.9500,71.5167
159,7Networks_LH_SomMot_78,-5.0909,-42.3896,65.4545
160,7Networks_LH_SomMot_79,-20.1515,-50.3030,68.1364
161,7Networks_LH_SomMot_80,-17.6140,-26.0351,64.3509
162,7Networks_LH_SomMot_81,-22.5532,-38.1702,70.6241
163,7Networks_LH_SomMot_82,-12.4127,-8.5397,71.2698
164,7Networks_LH_SomMot_83,-14.1758,-49.5165,72.9670
165,7Networks_LH_SomMot_84,-19.4915,-30.7910,68.1017
166,7Networks_LH_SomMot_85,-16.6000,-14.4889,74.6889
167,7Networks_LH_SomMot_86,-7.1579,-16.1930,74.3509
168,7Networks_LH_SomMot_87,-3.0377,-29.9245,70.6604
169,7Networks_LH_SomMot_88,-8.2093,-40.0000,75.7674
170,7Networks_LH_SomMot_89,-17.3178,-38.7907,74.2791
171,7Networks_LH_SomMot_90,-12.0696,-26.4174,73.2696
172,7Networks_LH_SomMot_91,-9.9000,-34.0000,72.2750
173,7Networks_LH_DorsAttn_Post_1,-44.5078,-41.1295,-21.6166
174,7Networks_LH_DorsAttn_Post_2,-50.6368,-48.9596,-20.5022
175,7Networks_LH_DorsAttn_Post_3,-42.6460,-53.5031,-17.0311
176,7Networks_LH_DorsAttn_Post_4,-44.7771,-57.9490,-10.6752
177,7Networks_LH_DorsAttn_Post_5,-47.2658,-62.3797,-5.4937
178,7Networks_LH_DorsAttn_Post_6,-57.3558,-59.2577,-4.9877
179,7Networks_LH_DorsAttn_Post_7,-48.1649,-65.1753,1.2990
180,7Networks_LH_DorsAttn_Post_8,-54.1538,-67.8154,5.5692
181,7Networks_LH_DorsAttn_Post_9,-57.8056,-59.9167,6.0417
182,7Networks_LH_DorsAttn_Post_10,-49.1096,-61.6164,10.3014
183,7Networks_LH_DorsAttn_Post_11,-48.0331,-69.2397,16.0496
184,7Networks_LH_DorsAttn_Post_12,-45.1910,-62.3820,15.8652
185,7Networks_LH_DorsAttn_Post_13,-43.4783,-71.4565,22.7826
186,7Networks_LH_DorsAttn_Post_14,-39.1148,-86.9508,24.5246
187,7Networks_LH_DorsAttn_Post_15,-43.4507,-78.1831,27.7746
188,7Networks_LH_DorsAttn_Post_16,-34.9697,-84.8182,33.8788
189,7Networks_LH_DorsAttn_Post_17,-30.4286,-76.8857,29.9143
190,7Networks_LH_DorsAttn_Post_18,-27.3333,-70.6222,26.9778
